Brand No.,Brand Title,English,Japanese,Maker title 
39,カバー ガール,covergirl,カバーガール,
40,プーパ,Pupa,プーパ,
278,ビービービー,BBB,ビービービー,
285,Loen Entertainment,Loen Entertainment,ロエンエンターテインメント,
311,イーオーエス,EOS,イーオーエス,
312,ケーエムエス,kms,ケーエムエス,
390,ウェイコン,weicon,ウェイコン,
503,Antenna Shop,Antenna Shop,アンテナショップ,
704,プリマ・クラッセ,PRIMA CLASSE,プリマクラッセ,
715,江戸川物産,edogawa bussan,江戸川物産,
822,HIKARI,HIKARI,ヒカリ,
837,徳安,tokuyasu,とくやす,
903,えいむ,AiM,えいむ,
1993,TRAIN,TRAIN,トレイン,
2101,ミュー,mju:,ミュー,
2643,アルケミスト,ALCHEMIST,アルケミスト,
2687,oregon,oregon,オレゴン,
3977,Billy,Billy,ビリー,
4961,Prince,Prince,プリンス,
5852,清水アキラ,SHIMIZU AKIRA,清水アキラ,
7029,Laula,Laula,ラウラ,
8016,ラファエル,Raphael,ラファエル,
8506,ひだまり本舗,hidamari honpo,ひだまり本舗,
9513,ABUS,ABUS,アブス,
9890,CUSCO ,CUSCO ,クスコ,
10337,キャラバン,CARAVAN,キャラバン,
11545,air bone,air bone,エアボーン,
12085,ニシ・スポーツ,nishi sport,ニシスポーツ,
12335,オーエスケー,OSK,オーエスケー,
12571,ケンウッド,Kenwood,ケンウッド,
12737,ステッドラー,Staedtler,ステッドラー,
13365,ハヤブサ,Hayabusa,ハヤブサ,
13996,ニクソン,NIXON,ニクソン,
14001,フランコ・バレンチノ,FRANCO VALENTINO,フランコバレンチノ,
14081,イービーエム,EBM,イービーエム,
14082,佐藤商事,satoshoji,さとうしょうじ,
14085,山田工業所,Yamada Kougyoujyo,山田工業所,
14093,東洋佐々木ガラス,Toyo Sasaki,とうようささき,
14108,KARITA,KARITA,カリタ,
14110,ウルシヤマ金属工業,UMIC,ウルシヤマ金属工業,
14074,アデリア,ADERIA GLASS,アデリア,
14206,トゥミ,TUMI,トゥミ,
14244,クイジナート,Cuisinart,クイジナート,
14274,プランターズ,PLANTERS,プランターズ,
14314,CLASSICO,CLASSICO,クラシコ,
14492,ミラン,MILAN,ミラン,
14542,パニエデサンス,Panier des Sens,パニエデサンス,
14665,gonzalez,gonzalez,ゴンザレス,
15091,rxmance,rxmance,ロマンス,
15787,コニカミノルタ,KONICA MINOLTA,コニカミノルタ,
15797,ミッソーニ,MISSONI,ミッソーニ,
15804,トルネ,TORUNE,トルネ,
15805,ジュンプランニング,JUN PLANNING,ジュンプランニング,
15838,マイスタージャパン,MEISTER JAPAN,マイスタージャパン,
