"대카테고리 코드","대카테고리 명","중카테고리 코드","중카테고리 명","소카테고리 코드","소카테고리 명"
"100000001","여성복","200000001","정장","300002246","정장 바지"
"100000001","여성복","200000001","정장","300002247","정장 치마"
"100000001","여성복","200000001","정장","300002248","정장 원피스"
"100000001","여성복","200000001","정장","300002249","기타 정장"
"100000001","여성복","200000002","원피스・드레스","300000001","드레스"
"100000001","여성복","200000002","원피스・드레스","300000008","꽃무늬・스트라이프・패턴"
"100000001","여성복","200000002","원피스・드레스","300002193","긴팔 미니 원피스"
"100000001","여성복","200000002","원피스・드레스","300002194","니트"
"100000001","여성복","200000002","원피스・드레스","300002195","기타 원피스"
"100000001","여성복","200000002","원피스・드레스","300002250","셔츠 원피스"
"100000001","여성복","200000002","원피스・드레스","300002506","긴팔 롱 원피스"
"100000001","여성복","200000002","원피스・드레스","300002767","티셔츠 원피스"
"100000001","여성복","200000002","원피스・드레스","300002768","민소매 미니 원피스"
"100000001","여성복","200000002","원피스・드레스","300002769","반팔 미니 원피스"
"100000001","여성복","200000002","원피스・드레스","300002770","민소매 롱 원피스"
"100000001","여성복","200000002","원피스・드레스","300002771","반팔 롱 원피스"
"100000001","여성복","200000002","원피스・드레스","300002862","데님 원피스"
"100000001","여성복","200000002","원피스・드레스","320001438","쉬폰 원피스"
"100000001","여성복","200000002","원피스・드레스","320001439","레이스 원피스"
"100000001","여성복","200000002","원피스・드레스","320001440","튜브톱 원피스 "
"100000001","여성복","200000002","원피스・드레스","320001441","캐미솔 원피스 "
"100000001","여성복","200000004","상의","300000012","캐미솔"
"100000001","여성복","200000004","상의","300000013","셔츠・블라우스"
"100000001","여성복","200000004","상의","300000025","니트"
"100000001","여성복","200000004","상의","300002188","트레이닝 상의 "
"100000001","여성복","200000004","상의","300002252","티셔츠"
"100000001","여성복","200000004","상의","300002253","튜닉"
"100000001","여성복","200000004","상의","300002254","폴로 셔츠"
"100000001","여성복","200000004","상의","300003071","가디건"
"100000001","여성복","200000004","상의","300003075","후드티"
"100000001","여성복","200000004","상의","320002477","탱크탑"
"100000001","여성복","200000009","바지","300000034","긴바지 "
"100000001","여성복","200000009","바지","300000038","청바지"
"100000001","여성복","200000009","바지","300000047","레깅스"
"100000001","여성복","200000009","바지","300002760","반바지・핫팬츠"
"100000001","여성복","200000009","바지","300002762","크롭 팬츠"
"100000001","여성복","200000009","바지","300002763","기타 바지"
"100000001","여성복","200000009","바지","320001449","카고 바지 "
"100000001","여성복","200000009","바지","320001450","사루엘 팬츠"
"100000001","여성복","200000011","스커트","300000040","미니 스커트"
"100000001","여성복","200000011","스커트","300002764","롱 스커트"
"100000001","여성복","200000011","스커트","300002765","치마바지 "
"100000001","여성복","200000011","스커트","300002859","미디움 스커트"
"100000001","여성복","200000011","스커트","300002860","기타 스커트"
"100000001","여성복","200000011","스커트","300003074","데님 스커트"
"100000001","여성복","200000012","아우터 ","300000041","점퍼・블루종"
"100000001","여성복","200000012","아우터 ","300000042","기타 아우터"
"100000001","여성복","200000012","아우터 ","300002186","다운 자켓・코트"
"100000001","여성복","200000012","아우터 ","300002187","라이더 자켓"
"100000001","여성복","200000012","아우터 ","300002189","트렌치 코트"
"100000001","여성복","200000012","아우터 ","300002190","퍼・모피"
"100000001","여성복","200000012","아우터 ","300002258","데님 자켓・코트"
